fips,county,state_name,state_abbr,svi,risk,ml_risk
08063,Kit Carson County,Colorado,CO,0.6825,0.9048,1.0
08065,Lake County,Colorado,CO,0.1152,0.0346,0.0
08067,La Plata County,Colorado,CO,0.258,0.0774,0.0
08069,Larimer County,Colorado,CO,0.1524,0.0457,0.0
08071,Las Animas County,Colorado,CO,0.9068,0.272,0.0
08073,Lincoln County,Colorado,CO,0.385,0.8155,1.0
08075,Logan County,Colorado,CO,0.6004,0.1801,0.0
08077,Mesa County,Colorado,CO,0.6462,0.1939,0.0
08079,Mineral County,Colorado,CO,0.056,0.0168,0.0
08081,Moffat County,Colorado,CO,0.8164,0.2449,0.0
08083,Montezuma County,Colorado,CO,0.6061,0.1818,0.0
08085,Montrose County,Colorado,CO,0.5164,0.1549,0.0
08087,Morgan County,Colorado,CO,0.8371,0.2511,0.0
08089,Otero County,Colorado,CO,0.9535,0.286,0.0
08091,Ouray County,Colorado,CO,0.0834,0.025,0.0
08093,Park County,Colorado,CO,0.0032,0.001,0.0
08095,Phillips County,Colorado,CO,0.4203,0.1261,0.0
08097,Pitkin County,Colorado,CO,0.0617,0.0185,0.0
08099,Prowers County,Colorado,CO,0.9615,0.2884,0.0
08101,Pueblo County,Colorado,CO,0.8533,0.256,0.0
08103,Rio Blanco County,Colorado,CO,0.5167,0.155,0.0
08105,Rio Grande County,Colorado,CO,0.7868,0.236,0.0
08107,Routt County,Colorado,CO,0.1314,0.0394,0.0
08109,Saguache County,Colorado,CO,0.6608,0.1982,0.0
08111,San Juan County,Colorado,CO,0.4276,0.1283,0.0
08113,San Miguel County,Colorado,CO,0.2911,0.0873,0.0
08115,Sedgwick County,Colorado,CO,0.6729,0.4352,0.3333
08117,Summit County,Colorado,CO,0.1696,0.0509,0.0
08119,Teller County,Colorado,CO,0.0496,0.0149,0.0
08121,Washington County,Colorado,CO,0.2848,0.0854,0.0
08123,Weld County,Colorado,CO,0.5889,0.5267,0.5
08125,Yuma County,Colorado,CO,0.6783,0.2035,0.0
09110,Capitol Planning Region,Connecticut,CT,0.5877,0.1763,0.0
09120,Greater Bridgeport Planning Region,Connecticut,CT,0.8142,0.2443,0.0
09130,Lower Connecticut River Valley Planning Region,Connecticut,CT,0.1534,0.046,0.0
09140,Naugatuck Valley Planning Region,Connecticut,CT,0.5641,0.1692,0.0
